group,mode,selections,issues,selection_coverage,pair_coverage,relative_coverage,regret_geomean,regret_worst,all_pair_accuracy,non_tie_pair_accuracy,relative_error_geomean,relative_error_p90
core,legacy,"{'s000': 16, 's125': 16, 's311': 4, 's1111': 16, 's4112': 16, 'jacobi-2d-imper-l00': 16, 'gesummv-l00': 4}",[],7/7,42/42,21/21,1.1096373663057442,1.457382236537608,0.8333333333333334,0.8717948717948718,1.2852097911921734,1.5829277959380001
core,largest_vf,"{'s000': 16, 's125': 16, 's311': 16, 's1111': 16, 's4112': 16, 'jacobi-2d-imper-l00': 16, 'gesummv-l00': 16}",[],7/7,not applicable,not applicable,1.0576888336595451,1.457382236537608,,,,
core,tp_only,"{'s000': 16, 's125': 16, 's311': 4, 's1111': 16, 's4112': 16, 'jacobi-2d-imper-l00': 16, 'gesummv-l00': 4}",[],7/7,42/42,21/21,1.1096373663057442,1.457382236537608,0.8333333333333334,0.8717948717948718,1.2784754173957595,1.7858672569556924
core,lcd_only,"{'s000': 16, 's125': 16, 's311': 16, 's1111': 16, 's4112': 16, 'jacobi-2d-imper-l00': 16, 'gesummv-l00': 16}",[],7/7,42/42,21/21,1.0576888336595451,1.457382236537608,0.7380952380952381,0.7948717948717948,1.398033846655923,2.011963529423796
core,max_tp_lcd,"{'s000': 16, 's125': 16, 's311': 16, 's1111': 16, 's4112': 16, 'jacobi-2d-imper-l00': 16, 'gesummv-l00': 4}",[],7/7,42/42,21/21,1.071227484097515,1.457382236537608,0.8571428571428571,0.8974358974358975,1.24010584190149,1.3394004427167694
core,automatic,"{'s000': 16, 's125': 16, 's311': 16, 's1111': 8, 's4112': 16, 'jacobi-2d-imper-l00': 16, 'gesummv-l00': 8}",[],7/7,not applicable,not applicable,1.0856378240781233,1.457382236537608,,,,
validation_informed,legacy,"{'bicg-l01': 4, 'gemver-l00': 16}",[],2/2,12/12,6/6,1.0323424181315806,1.065730868273759,0.8333333333333334,0.9090909090909091,1.2981551751087295,1.369413466706132
validation_informed,largest_vf,"{'bicg-l01': 16, 'gemver-l00': 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
validation_informed,tp_only,"{'bicg-l01': 4, 'gemver-l00': 16}",[],2/2,12/12,6/6,1.0323424181315806,1.065730868273759,0.8333333333333334,0.9090909090909091,1.131718573153826,1.2036677931301372
validation_informed,lcd_only,"{'bicg-l01': 16, 'gemver-l00': 16}",[],2/2,12/12,6/6,1.0,1.0,0.9166666666666666,0.9090909090909091,1.248434283233518,1.4497757553451756
validation_informed,max_tp_lcd,"{'bicg-l01': 4, 'gemver-l00': 16}",[],2/2,12/12,6/6,1.0323424181315806,1.065730868273759,0.8333333333333334,0.9090909090909091,1.131718573153826,1.2036677931301372
validation_informed,automatic,"{'bicg-l01': 16, 'gemver-l00': 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
